service_id,date,exception_type
DEC24-D02CAR-1_Weekday-SANTHB0,20250407,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250408,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250408,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250408,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250408,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250409,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250409,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250409,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250409,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250410,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250410,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250410,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250410,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250411,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250411,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250411,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250411,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250414,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250414,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250414,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250414,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250414,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250414,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250415,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250415,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250415,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250415,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250415,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250415,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250416,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250416,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250416,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250416,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250416,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250416,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250417,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250417,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250417,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250417,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250417,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250417,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250418,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250418,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250418,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250418,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250418,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250418,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250421,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250421,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250421,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250421,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250422,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250422,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250422,2
